time,value
2023-08-28T01:01:39.895Z,86
2023-08-28T01:01:41.919Z,84
2023-08-28T01:01:51.988Z,89
2023-08-28T01:01:53.992Z,84
2023-08-28T01:02:02.042Z,87
2023-08-28T01:02:04.061Z,84
2023-08-28T01:02:14.133Z,83
2023-08-28T01:02:16.143Z,84
2023-08-28T01:02:42.422Z,83
2023-08-28T01:02:46.387Z,84
2023-08-28T01:02:52.397Z,83
2023-08-28T01:02:54.406Z,84
2023-08-28T01:02:56.429Z,83
2023-08-28T01:03:02.671Z,87
2023-08-28T01:03:04.473Z,83
2023-08-28T01:03:12.626Z,89
2023-08-28T01:03:14.679Z,83
2023-08-28T01:03:16.7Z,84
2023-08-28T01:03:18.932Z,83
2023-08-28T01:03:46.765Z,84
2023-08-28T01:03:48.782Z,83
2023-08-28T01:03:56.85Z,87
2023-08-28T01:03:58.851Z,83
2023-08-28T01:04:08.926Z,85
2023-08-28T01:04:10.931Z,83
2023-08-28T01:04:14.967Z,87
2023-08-28T01:04:16.979Z,83
2023-08-28T01:04:43.162Z,86
2023-08-28T01:04:45.172Z,83
2023-08-28T01:04:57.253Z,86
2023-08-28T01:04:59.268Z,83
2023-08-28T01:05:05.319Z,82
2023-08-28T01:05:07.323Z,83
2023-08-28T01:05:11.352Z,82
2023-08-28T01:05:15.38Z,87
2023-08-28T01:05:17.396Z,83
2023-08-28T01:05:23.433Z,82
2023-08-28T01:05:27.458Z,83
2023-08-28T01:05:29.476Z,82
2023-08-28T01:05:37.527Z,84
2023-08-28T01:05:39.552Z,82
2023-08-28T01:05:51.628Z,87
2023-08-28T01:05:53.648Z,82
2023-08-28T01:06:19.826Z,87
2023-08-28T01:06:21.834Z,85
2023-08-28T01:06:23.848Z,82
2023-08-28T01:07:14.203Z,81
2023-08-28T01:07:16.218Z,82
2023-08-28T01:07:28.302Z,83
2023-08-28T01:07:30.312Z,82
2023-08-28T01:07:34.34Z,81
2023-08-28T01:07:36.352Z,82
2023-08-28T01:07:38.364Z,86
2023-08-28T01:07:42.392Z,81
2023-08-28T01:07:44.414Z,82
2023-08-28T01:07:54.472Z,81
2023-08-28T01:08:04.546Z,82
2023-08-28T01:08:06.568Z,81
2023-08-28T01:08:22.673Z,82
2023-08-28T01:08:24.686Z,81
2023-08-28T01:08:50.857Z,82
2023-08-28T01:08:52.873Z,81
2023-08-28T01:08:54.884Z,85
2023-08-28T01:08:56.899Z,81
2023-08-28T01:09:57.322Z,80
2023-08-28T01:09:59.338Z,81
2023-08-28T01:10:05.387Z,80
2023-08-28T01:10:07.398Z,81
2023-08-28T01:10:25.514Z,80
2023-08-28T01:10:27.533Z,81
2023-08-28T01:10:29.538Z,80
2023-08-28T01:10:41.624Z,81
2023-08-28T01:10:43.679Z,80
2023-08-28T01:10:47.664Z,81
2023-08-28T01:10:49.677Z,80
2023-08-28T01:10:59.752Z,84
2023-08-28T01:11:01.762Z,80
2023-08-28T01:11:19.878Z,84
2023-08-28T01:11:21.893Z,80
2023-08-28T01:11:29.952Z,84
2023-08-28T01:11:31.96Z,80
2023-08-28T01:11:40.023Z,82
2023-08-28T01:11:42.038Z,80
2023-08-28T01:11:58.15Z,84
2023-08-28T01:12:00.158Z,80
2023-08-28T01:12:04.201Z,84
2023-08-28T01:12:06.208Z,80
2023-08-28T01:13:08.629Z,84
2023-08-28T01:13:10.647Z,83
2023-08-28T01:13:12.652Z,80
2023-08-28T01:13:14.677Z,79
2023-08-28T01:13:16.679Z,80
2023-08-28T01:13:20.72Z,83
2023-08-28T01:13:22.724Z,80
2023-08-28T01:13:24.769Z,79
2023-08-28T01:13:30.779Z,80
2023-08-28T01:13:34.811Z,84
2023-08-28T01:13:36.822Z,79
2023-08-28T01:13:44.876Z,81
2023-08-28T01:13:46.893Z,79
2023-08-28T01:13:58.969Z,82
2023-08-28T01:14:00.984Z,79
2023-08-28T01:14:07.023Z,83
2023-08-28T01:14:09.041Z,79
2023-08-28T01:14:15.073Z,80
2023-08-28T01:14:17.088Z,79
2023-08-28T01:14:29.179Z,82
2023-08-28T01:14:31.194Z,79
2023-08-28T01:14:57.373Z,83
2023-08-28T01:14:59.384Z,82
2023-08-28T01:15:01.402Z,79
2023-08-28T01:15:11.478Z,78
2023-08-28T01:15:13.483Z,79
2023-08-28T01:15:37.644Z,82
2023-08-28T01:15:39.664Z,79
2023-08-28T01:15:43.688Z,78
2023-08-28T01:15:45.704Z,79
2023-08-28T01:15:51.748Z,81
2023-08-28T01:15:53.759Z,79
2023-08-28T01:15:57.786Z,78
2023-08-28T01:15:59.803Z,79
2023-08-28T01:16:03.83Z,82
2023-08-28T01:16:05.838Z,79
2023-08-28T01:16:09.871Z,82
2023-08-28T01:16:11.888Z,78
2023-08-28T01:16:13.903Z,79
2023-08-28T01:16:17.927Z,78
2023-08-28T01:16:19.952Z,79
2023-08-28T01:16:21.961Z,82
2023-08-28T01:16:23.973Z,78
2023-08-28T01:16:25.993Z,79
2023-08-28T01:16:27.999Z,81
2023-08-28T01:16:30.017Z,79
2023-08-28T01:16:32.027Z,78
2023-08-28T01:16:34.043Z,79
2023-08-28T01:16:36.054Z,78
2023-08-28T01:16:54.179Z,82
2023-08-28T01:16:56.194Z,78
2023-08-28T01:17:02.242Z,82
2023-08-28T01:17:04.272Z,78
2023-08-28T01:17:06.263Z,81
2023-08-28T01:17:08.282Z,78
2023-08-28T01:17:42.517Z,82
2023-08-28T01:17:44.532Z,78
2023-08-28T01:17:50.568Z,82
2023-08-28T01:17:52.583Z,78
2023-08-28T01:18:12.727Z,82
2023-08-28T01:18:14.748Z,78
2023-08-28T01:18:28.843Z,82
2023-08-28T01:18:30.86Z,78
2023-08-28T01:18:48.979Z,81
2023-08-28T01:18:50.993Z,78
2023-08-28T01:19:09.118Z,79
2023-08-28T01:19:11.14Z,78
2023-08-28T01:19:15.162Z,81
2023-08-28T01:19:17.172Z,78
2023-08-28T01:19:21.198Z,81
2023-08-28T01:19:23.218Z,78
2023-08-28T01:19:33.288Z,79
2023-08-28T01:19:35.299Z,78
2023-08-28T01:19:39.329Z,77
2023-08-28T01:19:41.343Z,78
2023-08-28T01:19:43.358Z,77
2023-08-28T01:19:45.374Z,78
2023-08-28T01:19:49.396Z,77
2023-08-28T01:19:51.413Z,78
2023-08-28T01:19:53.424Z,77
2023-08-28T01:19:55.442Z,78
2023-08-28T01:19:57.454Z,77
2023-08-28T01:20:01.478Z,78
2023-08-28T01:20:05.513Z,77
2023-08-28T01:20:17.592Z,78
2023-08-28T01:20:19.603Z,77
2023-08-28T01:20:23.633Z,80
2023-08-28T01:20:25.648Z,77
2023-08-28T01:20:43.773Z,80
2023-08-28T01:20:45.789Z,77
2023-08-28T01:21:26.059Z,81
2023-08-28T01:21:28.083Z,77
2023-08-28T01:22:22.438Z,79
2023-08-28T01:22:24.463Z,77
2023-08-28T01:22:58.693Z,76
2023-08-28T01:23:00.708Z,77
2023-08-28T01:23:04.739Z,76
2023-08-28T01:23:06.751Z,77
2023-08-28T01:23:08.768Z,76
2023-08-28T01:23:10.775Z,80
2023-08-28T01:23:12.797Z,77
2023-08-28T01:23:18.839Z,76
2023-08-28T01:23:20.842Z,77
2023-08-28T01:23:22.864Z,76
2023-08-28T01:23:26.898Z,77
2023-08-28T01:23:32.937Z,76
2023-08-28T01:23:40.992Z,77
2023-08-28T01:23:45.009Z,76
2023-08-28T01:23:49.039Z,77
2023-08-28T01:23:51.058Z,76
2023-08-28T01:23:53.06Z,77
2023-08-28T01:23:57.093Z,76
2023-08-28T01:25:51.886Z,79
2023-08-28T01:25:53.895Z,76
2023-08-28T01:26:32.154Z,75
2023-08-28T01:26:34.167Z,76
2023-08-28T01:27:20.482Z,75
2023-08-28T01:27:22.489Z,78
2023-08-28T01:27:24.505Z,76
2023-08-28T01:27:32.563Z,75
